grid,망포1동 행정복지센터,매탄3동 행정복지센터,매탄2동 행정복지센터,광교1동 행정복지센터,영통종합사회복지관,영통2동 행정복지센터,영통1동 행정복지센터,영통3동행정복지센터,광교2동 행정복지센터,광교종합사회복지관,망포2동 주민센터(행정복지센터),영통청소년문화의집(영통청소년청년센터),영통한국문화센터,영통2동문화센터,광교홍재도서관,수원시립영통도서관,수원체육문화센터,광교복합체육센터,영통체육문화센터,영통지구대,수원남부경찰서,영통2치안센터,영통공영주차장,영통우체국앞 노상공영주차장,영통동 동수원세무서앞 노상공영주차장,망포역 공영주차장,영통구보건소,경기남부근로자건강센터,수원여성인력개발센터(영통여성새로일하기센터),수원영통동우체국,수원황곡우체국,geometry
다사628219,6673.604486,5511.231766,4112.402707,3029.161147,5022.807409,5833.873178,3270.609367,5164.131209,1032.983374,3071.318297,6841.440746,4878.473464,4898.241412,5854.396649,3081.012026,4349.564883,4348.243153,1783.832118,3503.875933,4548.787373,3535.76833,4861.506081,4748.974028,4650.169367,4971.388536,5969.483181,4428.46036,5920.14153,4716.487295,5842.801651,3201.801664,"POLYGON ((127.08028231265415 37.29530615454124, 127.08027730454911 37.29620752817568, 127.08140556382888 37.29621152389493, 127.08141055847258 37.29531015013088, 127.08028231265415 37.29530615454124))"
다사617164,1161.792506,2537.524521,3262.153893,5241.805388,907.7837563,1105.639528,2472.485416,596.4254715,5109.058872,6227.701055,1733.725632,735.7257338,912.6188839,1140.386491,6591.353321,1262.803114,1285.78758,3995.483245,2497.393161,1263.515813,3162.591781,755.0628533,921.1550111,1122.952328,745.0041415,1007.913145,1196.354061,790.4849021,995.0259683,1014.111685,2534.893987,"POLYGON ((127.06815486017159 37.24568581020804, 127.06814971660084 37.246587189994365, 127.06927723391583 37.246591296682276, 127.06928236405824 37.24568991676268, 127.06815486017159 37.24568581020804))"
다사611156,161.7935076,2557.715828,3695.42224,5837.324382,1878.028817,1029.912634,3458.852587,1585.912091,5954.222694,6850.071961,931.1991737,1676.459079,1905.633461,1041.128131,7233.16614,2217.309852,2181.509712,4851.307579,3497.710145,2262.829992,3753.533211,1688.797872,1918.300139,2122.83213,1744.691399,822.4762187,2105.510982,713.4870518,1995.129059,949.3375493,3519.469601,"POLYGON ((127.06143162643396 37.238449908630656, 127.06142640415341 37.23935128871549, 127.06255381267633 37.239355458734046, 127.06255902153337 37.23845407851388, 127.06143162643396 37.238449908630656))"
다사622167,1717.686654,2891.967968,3355.642051,5171.613768,325.225033,1613.843625,2012.2668,86.5729562,4819.890777,6125.073554,2316.444402,600.7482194,363.42237,1650.041133,6470.165555,949.3041966,1087.282108,3709.147667,1973.340949,734.7443259,3144.983665,628.2314334,497.2710345,606.3446556,270.1727762,1552.853475,989.8651444,1347.032855,520.1320359,1532.586625,2078.488674,"POLYGON ((127.07377715191757 37.2484103765619, 127.07377207481063 37.24931175659661, 127.0748996335502 37.24931581000112, 127.07490469722696 37.24841442983489, 127.07377715191757 37.2484103765619))"
다사593227,7420.59917,5164.622535,3672.747893,1502.426035,6617.59588,6337.528611,5345.870009,6580.055794,2813.50565,598.752581,7168.224852,6099.365772,6454.875622,6337.787381,531.3329147,5747.516902,5579.452863,3441.074845,5775.071984,6236.05409,3590.246317,6072.853044,6206.862948,6262.809253,6416.129079,6537.290957,5676.780616,6613.959633,6239.595619,6400.006219,5293.862118,"POLYGON ((127.0407500129454 37.30237048079526, 127.04074453174775 37.30327184856778, 127.04187289057695 37.30327622183612, 127.04187835830881 37.30237485392176, 127.0407500129454 37.30237048079526))"
다사600228,7391.770743,5293.348666,3739.676521,1513.973193,6404.958979,6331.298661,5004.002267,6401.08096,2255.735702,542.5332955,7217.312499,5944.769107,6245.45281,6335.605576,188.0109085,5547.191586,5405.188098,3038.280163,5411.63573,5995.621041,3536.590145,5919.293975,6009.617125,6037.412144,6227.275106,6523.687072,5502.792629,6577.355921,6030.736264,6384.83764,4946.968181,"POLYGON ((127.04864304864296 37.303302235541075, 127.04863766146616 37.304203604160776, 127.04976603545316 37.304207902266754, 127.04977140916353 37.30330653350766, 127.04864304864296 37.303302235541075))"
다사612176,2132.664651,1768.142189,2012.582184,3942.110503,1449.685006,1254.219353,1873.780685,1265.768995,3959.596008,4932.141168,2262.045047,747.5904774,1302.006901,1278.21059,5300.140471,797.5646752,546.7105448,2866.87122,2134.323551,1340.698202,1862.679288,720.5863497,1045.139654,1257.159573,1165.896885,1379.869913,575.2141584,1341.104879,1137.383703,1255.060949,1912.762093,"POLYGON ((127.06245480032686 37.25648165666476, 127.06244958683055 37.25738303412144, 127.06357726418072 37.257387196107366, 127.06358246424158 37.256485818515664, 127.06245480032686 37.25648165666476))"
다사605195,4053.566469,2233.002145,805.1554165,1916.496298,3267.033311,3003.238339,2425.922564,3190.660653,2415.805724,2911.938926,3928.032705,2694.6302,3102.834982,3009.874027,3288.237782,2398.583329,2199.191566,1618.006786,2883.083846,2941.89771,226.2748703,2667.621382,2842.987249,2940.213205,3038.742484,3191.199404,2294.363191,3238.784979,2891.194216,3052.18853,2402.407115,"POLYGON ((127.0544602757051 37.27357835290285, 127.05445496367007 37.27447972677831, 127.05558289476888 37.2744839665548, 127.05558819335715 37.2735825925418, 127.0544602757051 37.27357835290285))"
다사627175,2646.667639,3267.898393,3277.525955,4758.804973,654.1125397,2327.679295,1133.07966,901.4764794,4096.638983,5644.534996,3173.389037,990.0635633,582.3361936,2363.036704,5957.209059,714.8324814,978.0723365,3014.73576,1031.333813,228.0447507,2901.611187,998.887216,617.1418603,370.0792302,743.2076746,2328.521455,930.1153246,2155.433128,516.0679312,2268.390007,1201.80121,"POLYGON ((127.0793747948199 37.25564157720676, 127.07936978307957 37.25654295679054, 127.0804974504035 37.256546957550064, 127.08050244870883 37.25564557783649, 127.0793747948199 37.25564157720676))"
다사608209,5427.366048,3629.461621,2079.186489,1045.402299,4342.640283,4406.707298,3002.132791,4343.16666,1208.783098,1757.676997,5351.933432,3896.351112,4183.260715,4416.060201,2061.117632,3486.344681,3351.162031,1167.016171,3434.286373,3935.232062,1656.004083,3871.437132,3948.703839,3975.323579,4167.49251,4586.886349,3448.515463,4613.765661,3968.642375,4448.355351,2950.650847,"POLYGON ((127.05777020428211 37.28621026702151, 127.05776492930087 37.2871116393733, 127.05889304942318 37.28711584882209, 127.05889831094927 37.28621447633375, 127.05777020428211 37.28621026702151))"
